           lng            lat            alt
 -12.650817735  -50.336228000         15.000
 -12.650061483  -50.335940000         14.900
 -12.648512088  -50.335364000         14.800
 -12.646962693  -50.334788000         14.700
 -12.645431743  -50.334212000         14.600
 -12.643882348  -50.333636000         14.500
 -12.642351399  -50.333060000         14.400
 -12.640802004  -50.332484000         14.300
 -12.639271054  -50.331908000         14.200
 -12.637721659  -50.331332000         14.100
 -12.636190709  -50.330756000         14.000
 -12.634641314  -50.330180000         13.900
 -12.633091919  -50.329604000         13.800
 -12.631560969  -50.329046000         13.700
 -12.630011574  -50.328470000         13.600
 -12.628480625  -50.327894000         13.500
 -12.626931230  -50.327318000         13.400
 -12.625400280  -50.326742000         13.300
 -12.623850885  -50.326166000         13.200
 -12.622319935  -50.325590000         13.100
 -12.621545238  -50.325302000         13.000
