           lng            lat            alt
 -12.650817735  -50.336228000         15.000
 -12.650928407  -50.336750000         14.900
 -12.651112858  -50.337776000         14.800
 -12.651315755  -50.338784000         14.700
 -12.651518652  -50.339810000         14.600
 -12.651703104  -50.340836000         14.500
 -12.651906001  -50.341862000         14.400
 -12.652108898  -50.342888000         14.300
 -12.652293350  -50.343914000         14.200
 -12.652496247  -50.344940000         14.100
 -12.652699144  -50.345966000         14.000
 -12.652902041  -50.346992000         13.900
 -12.653086492  -50.348018000         13.800
 -12.653289389  -50.349026000         13.700
 -12.653492286  -50.350052000         13.600
 -12.653676738  -50.351078000         13.500
 -12.653879635  -50.352104000         13.400
 -12.654082532  -50.353130000         13.300
 -12.654266984  -50.354156000         13.200
 -12.654469881  -50.355182000         13.100
 -12.654562107  -50.355686000         13.000
