           lng            lat            alt
 -12.635416012  -50.340926000         15.000
 -12.635250005  -50.341538000         14.900
 -12.634899547  -50.342762000         14.800
 -12.634567533  -50.343986000         14.700
 -12.634217075  -50.345210000         14.600
 -12.633885062  -50.346434000         14.500
 -12.633534603  -50.347658000         14.400
 -12.633202590  -50.348864000         14.300
 -12.632852132  -50.350088000         14.200
 -12.632520119  -50.351312000         14.100
 -12.632169660  -50.352536000         14.000
 -12.631837647  -50.353760000         13.900
 -12.631487189  -50.354984000         13.800
 -12.631155175  -50.356190000         13.700
 -12.630804717  -50.357414000         13.600
 -12.630472704  -50.358638000         13.500
 -12.630122246  -50.359862000         13.400
 -12.629790232  -50.361086000         13.300
 -12.629439774  -50.362310000         13.200
 -12.629107761  -50.363534000         13.100
 -12.628941754  -50.364146000         13.000
