           lng            lat            alt
 -12.632354112  -50.352950000         15.000
 -12.632852132  -50.352518000         14.900
 -12.633811281  -50.351636000         14.800
 -12.634788876  -50.350754000         14.700
 -12.635766470  -50.349872000         14.600
 -12.636744064  -50.348990000         14.500
 -12.637703214  -50.348108000         14.400
 -12.638680808  -50.347226000         14.300
 -12.639658403  -50.346344000         14.200
 -12.640617552  -50.345480000         14.100
 -12.641595146  -50.344598000         14.000
 -12.642572741  -50.343716000         13.900
 -12.643531890  -50.342834000         13.800
 -12.644509485  -50.341952000         13.700
 -12.645487079  -50.341070000         13.600
 -12.646446228  -50.340188000         13.500
 -12.647423823  -50.339306000         13.400
 -12.648401417  -50.338424000         13.300
 -12.649360566  -50.337560000         13.200
 -12.650338161  -50.336678000         13.100
 -12.650817735  -50.336228000         13.000
