           lng            lat            alt
 -12.621545238  -50.325302000         15.000
 -12.621711244  -50.326040000         14.900
 -12.622061703  -50.327534000         14.800
 -12.622412161  -50.329028000         14.700
 -12.622744174  -50.330504000         14.600
 -12.623094633  -50.331998000         14.500
 -12.623445091  -50.333492000         14.400
 -12.623777104  -50.334986000         14.300
 -12.624127563  -50.336462000         14.200
 -12.624478021  -50.337956000         14.100
 -12.624828479  -50.339450000         14.000
 -12.625160493  -50.340944000         13.900
 -12.625510951  -50.342420000         13.800
 -12.625861409  -50.343914000         13.700
 -12.626211868  -50.345408000         13.600
 -12.626543881  -50.346902000         13.500
 -12.626894339  -50.348378000         13.400
 -12.627244798  -50.349872000         13.300
 -12.627576811  -50.351366000         13.200
 -12.627927269  -50.352860000         13.100
 -12.628093276  -50.353598000         13.000
