           lng            lat            alt
 -12.622098593  -50.332124000         15.000
 -12.622449051  -50.332358000         14.900
 -12.623149968  -50.332826000         14.800
 -12.623850885  -50.333276000         14.700
 -12.624551802  -50.333744000         14.600
 -12.625252718  -50.334212000         14.500
 -12.625953635  -50.334680000         14.400
 -12.626654552  -50.335130000         14.300
 -12.627355469  -50.335598000         14.200
 -12.628056386  -50.336066000         14.100
 -12.628757302  -50.336534000         14.000
 -12.629458219  -50.336984000         13.900
 -12.630159136  -50.337452000         13.800
 -12.630860053  -50.337920000         13.700
 -12.631560969  -50.338388000         13.600
 -12.632261886  -50.338838000         13.500
 -12.632962803  -50.339306000         13.400
 -12.633663720  -50.339774000         13.300
 -12.634364637  -50.340242000         13.200
 -12.635065553  -50.340692000         13.100
 -12.635416012  -50.340926000         13.000
