           lng            lat            alt
 -12.632354112  -50.352950000         15.000
 -12.632077434  -50.352230000         14.900
 -12.631505634  -50.350772000         14.800
 -12.630933833  -50.349314000         14.700
 -12.630362033  -50.347856000         14.600
 -12.629808677  -50.346398000         14.500
 -12.629236877  -50.344940000         14.400
 -12.628665076  -50.343500000         14.300
 -12.628093276  -50.342042000         14.200
 -12.627521475  -50.340584000         14.100
 -12.626949675  -50.339126000         14.000
 -12.626377874  -50.337668000         13.900
 -12.625806074  -50.336210000         13.800
 -12.625234273  -50.334752000         13.700
 -12.624680918  -50.333294000         13.600
 -12.624109117  -50.331854000         13.500
 -12.623537317  -50.330396000         13.400
 -12.622965516  -50.328938000         13.300
 -12.622393716  -50.327480000         13.200
 -12.621821915  -50.326022000         13.100
 -12.621545238  -50.325302000         13.000
