           lng            lat            alt
 -12.651389536  -50.336336000         15.000
 -12.650836181  -50.336462000         14.900
 -12.649766360  -50.336714000         14.800
 -12.648696540  -50.336948000         14.700
 -12.647608274  -50.337200000         14.600
 -12.646538454  -50.337452000         14.500
 -12.645450189  -50.337704000         14.400
 -12.644380368  -50.337938000         14.300
 -12.643310548  -50.338190000         14.200
 -12.642222282  -50.338442000         14.100
 -12.641152462  -50.338694000         14.000
 -12.640064197  -50.338928000         13.900
 -12.638994376  -50.339180000         13.800
 -12.637924556  -50.339432000         13.700
 -12.636836290  -50.339666000         13.600
 -12.635766470  -50.339918000         13.500
 -12.634678205  -50.340170000         13.400
 -12.633608384  -50.340422000         13.300
 -12.632538564  -50.340656000         13.200
 -12.631450298  -50.340908000         13.100
 -12.630915388  -50.341034000         13.000
