           lng            lat            alt
 -12.621545238  -50.325302000         15.000
 -12.621785025  -50.325716000         14.900
 -12.622283045  -50.326544000         14.800
 -12.622781065  -50.327372000         14.700
 -12.623260639  -50.328200000         14.600
 -12.623758659  -50.329028000         14.500
 -12.624256679  -50.329856000         14.400
 -12.624754699  -50.330684000         14.300
 -12.625234273  -50.331512000         14.200
 -12.625732293  -50.332340000         14.100
 -12.626230313  -50.333168000         14.000
 -12.626728333  -50.333996000         13.900
 -12.627207907  -50.334824000         13.800
 -12.627705927  -50.335652000         13.700
 -12.628203947  -50.336480000         13.600
 -12.628701967  -50.337308000         13.500
 -12.629181541  -50.338136000         13.400
 -12.629679561  -50.338964000         13.300
 -12.630177581  -50.339792000         13.200
 -12.630675601  -50.340620000         13.100
 -12.630915388  -50.341034000         13.000
